('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         819132 function calls (794845 primitive calls) in 3.462 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      260    0.000    0.000    0.000    0.000 _state.py:301(_fire_event_triggered_transitions)
      325    0.000    0.000    0.001    0.000 filter.py:490(_make_match_rules)
       30    0.000    0.000    0.001    0.000 <frozen zipimport>:68(__init__)
      152    0.000    0.000    0.000    0.000 enum.py:760(__delattr__)
       24    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
      400    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
    60/30    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        2    0.000    0.000    0.019    0.009 _sockets.py:1(<module>)
      274    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      276    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.159    0.159 css_parser.py:1(<module>)
      250    0.000    0.000    0.517    0.002 default.py:125(__iter__)
